date,type,word_df,word_token,word_emo,comment,comment_token,comment_emoji,longitude,latitude,district,subdistrict,status,color_word_df
2022-09-11,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วม,"น้ำท่วมขัง ริมคลองพระโขนง อ่อนนุช 35, 39 คับ ฝากเร่งระบายด้วย",น้ำท่วมขัง ริมคลองพระโขนง อ่อนนุช คับ ฝากเร่งระบายด้วย,น้ำท่วมขัง ริมคลองพระโขนง อ่อนนุช คับ ฝากเร่งระบายด้วย,100.63371,13.71583,สวนหลวง,สวนหลวง,finish,fuchsia
2022-09-12,"ถนน,ทางเท้า",ถนน,ถนน,ถนน,ผู้ค้าตั้งวางสินค้าและสิ่งของบนถนนและทางเท้าไม่สามารถเดินบนทางเท้าได้ขอให้ยกเลิกบริเวณผ่อนผันดังกล่าวหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเขตป้อมปราบศัตรูพ่าย,ผู้ค้าตั้งวางสินค้าและสิ่งของบนถนนและทางเท้าไม่สามารถเดินบนทางเท้าได้ขอให้ยกเลิกบริเวณผ่อนผันดังกล่าวหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเขตป้อมปราบศัตรูพ่าย,ผู้ค้าตั้งวางสินค้าและสิ่งของบนถนนและทางเท้าไม่สามารถเดินบนทางเท้าได้ขอให้ยกเลิกบริเวณผ่อนผันดังกล่าวหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเขตป้อมปราบศัตรูพ่าย,100.51067,13.74437,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,finish,brown
2022-09-13,คนจรจัด,ป้าย,ป้าย,ป้าย,คนจรจัดนอนขวางป้ายรถเมล์,คนจรจัดนอนขวางป้ายรถเมล์,คนจรจัดนอนขวางป้ายรถเมล์,100.52241,13.73549,ปทุมวัน,วังใหม่,finish,lime
2022-09-14,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วมขังเดินลำบาก จักรยานก็ลำบาก,น้ำท่วมขังเดินลำบาก จักรยานก็ลำบาก,น้ำท่วมขังเดินลำบาก จักรยานก็ลำบาก,100.44787,13.74383,ตลิ่งชัน,บางเชือกหนัง,finish,fuchsia
2022-09-15,ถนน,ถนน,ถนน,ถนน,อาคาร ณ ถลาง ที่ตั้งกรมการขนส่งทางราง ปิดกั้นสร้างรั้วบนนถนนสาธารณแสดงตัวเป็นเจ้าของ เป็นระยะเวลายาวนานเกินกว่า30ปี,อาคาร ณ ถลาง ที่ตั้งกรมการขนส่งทางราง ปิดกั้นสร้างรั้วบนนถนนสาธารณแสดงตัวเป็นเจ้าของ เป็นระยะเวลายาวนานเกินกว่าปี,อาคาร ณ ถลาง ที่ตั้งกรมการขนส่งทางราง ปิดกั้นสร้างรั้วบนนถนนสาธารณแสดงตัวเป็นเจ้าของ เป็นระยะเวลายาวนานเกินกว่าปี,100.51987,13.7567,ดุสิต,สี่แยกมหานาค,inprogress,brown
2022-09-16,"ถนน,น้ำท่วม",ถนน,ถนน,ถนน,น้ำท่วมค่ะและยังไม่มีการขึ้นถนน,น้ำท่วมค่ะและยังไม่มีการขึ้นถนน,น้ำท่วมค่ะและยังไม่มีการขึ้นถนน,100.81887,13.83705,หนองจอก,โคกแฝด,finish,brown
2022-09-17,ถนน,จราจร,จราจร,จราจร,พื้นผิวจราจรเป็นหลุมลึกพระราม 2 ซอย 62,พื้นผิวจราจรเป็นหลุมลึกพระราม ซอย,พื้นผิวจราจรเป็นหลุมลึกพระราม ซอย,100.41918,13.64922,บางขุนเทียน,แสมดำ,finish,blanchedalmond
2022-09-18,"กีดขวาง,ทางเท้า",ทางเดิน,ทางเดิน,ทางเดิน,ป้ายโฆษณากีดขวางทางเดินฟุตบาท,ป้ายโฆษณากีดขวางทางเดินฟุตบาท,ป้ายโฆษณากีดขวางทางเดินฟุตบาท,100.63634,13.73775,สวนหลวง,สวนหลวง,inprogress,red
2022-09-19,"ความปลอดภัย,แสงสว่าง",ถนน,ถนน,ถนน,ไฟถนนไม่ติด อันตราย,ไฟถนนไม่ติด อันตราย,ไฟถนนไม่ติด อันตราย,100.51339,13.65064,ทุ่งครุ,บางมด,inprogress,brown
2022-09-20,"ท่อระบายน้ำ,น้ำท่วม",น้ำท่วม,น้ำท่วม,น้ำท่วม,ปัญหาน้ำท่วมขังเพราะท่อน้ำตัน ในซอยนี้มีหลายจุดที่ฝาท่อตัน ทั้งๆที่ด้านในท่อระบายได้ที ความสูงระดับข้อเท้า น้ำท่วมมากกว่า 1 สัปดาห์แล้ว,ปัญหาน้ำท่วมขังเพราะท่อน้ำตัน ในซอยนี้มีหลายจุดที่ฝาท่อตัน ทั้งที่ด้านในท่อระบายได้ที ความสูงระดับข้อเท้า น้ำท่วมมากกว่า สัปดาห์แล้ว,ปัญหาน้ำท่วมขังเพราะท่อน้ำตัน ในซอยนี้มีหลายจุดที่ฝาท่อตัน ทั้งที่ด้านในท่อระบายได้ที ความสูงระดับข้อเท้า น้ำท่วมมากกว่า สัปดาห์แล้ว,100.61698,13.66334,บางนา,บางนาใต้,finish,fuchsia
2022-09-21,"ถนน,จราจร",ถนน,ถนน,ถนน,รถติดทางกลับรถหนองแขม ทุกวัน ทำถนน ไม่เสร็จสักที,รถติดทางกลับรถหนองแขม ทุกวัน ทำถนน ไม่เสร็จสักที,รถติดทางกลับรถหนองแขม ทุกวัน ทำถนน ไม่เสร็จสักที,100.3394,13.70522,หนองแขม,หนองค้างพลู,finish,brown
2022-09-22,"ความสะอาด,ถนน",ร้องเรียน,ร้องเรียน,ร้องเรียน,รบกวนฝากดูเรื่องรถขยะครับกับพนักงานเก็บขยะผ่านมาตรงนี้ที่ไลน์ไม่รู้รีบไปไหน 3 วันเก็บที 4 วันเก็บที ได้แจ้งและร้องเรียนไป 1555 หลายครั้งแล้ว ก็ไม่ดีขึ้นเลยครับเวลาฝนตกขยะก็จะลอยไปตามถนนแต่สำหรับร้านสะดวกซื้อจะเก็บสะอาดเรียบร้อยทุกวันไม่มีตกบกพร่องฝากดูด้วยครับท่าน,รบกวนฝากดูเรื่องรถขยะครับกับพนักงานเก็บขยะผ่านมาตรงนี้ที่ไลน์ไม่รู้รีบไปไหน วันเก็บที วันเก็บที ได้แจ้งและร้องเรียนไป หลายครั้งแล้ว ก็ไม่ดีขึ้นเลยครับเวลาฝนตกขยะก็จะลอยไปตามถนนแต่สำหรับร้านสะดวกซื้อจะเก็บสะอาดเรียบร้อยทุกวันไม่มีตกบกพร่องฝากดูด้วยครับท่าน,รบกวนฝากดูเรื่องรถขยะครับกับพนักงานเก็บขยะผ่านมาตรงนี้ที่ไลน์ไม่รู้รีบไปไหน วันเก็บที วันเก็บที ได้แจ้งและร้องเรียนไป หลายครั้งแล้ว ก็ไม่ดีขึ้นเลยครับเวลาฝนตกขยะก็จะลอยไปตามถนนแต่สำหรับร้านสะดวกซื้อจะเก็บสะอาดเรียบร้อยทุกวันไม่มีตกบกพร่องฝากดูด้วยครับท่าน,100.56779,13.92208,ดอนเมือง,ดอนเมือง,finish,maroon
2022-09-23,ความสะอาด,ขยะ,ขยะ,ขยะ,ขยะไม่ได้เข้าเก็บตรงวันทำให้สะสมเกิดกลิ่นเหม็นและดูไม่สะอาดเลอะเทอะรบกวนมาเก็บให้ตรงวัน,ขยะไม่ได้เข้าเก็บตรงวันทำให้สะสมเกิดกลิ่นเหม็นและดูไม่สะอาดเลอะเทอะรบกวนมาเก็บให้ตรงวัน,ขยะไม่ได้เข้าเก็บตรงวันทำให้สะสมเกิดกลิ่นเหม็นและดูไม่สะอาดเลอะเทอะรบกวนมาเก็บให้ตรงวัน,100.60087,13.88921,บางเขน,อนุสาวรีย์,finish,silver
2022-09-24,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำในท่อยังไม่ลงเลยคับ ช่วยระบายน้ำให้หน่อยคับ บ้านยังน้ำท่วมอยู่คับ ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า 3 ชั่วโมง,น้ำในท่อยังไม่ลงเลยคับ ช่วยระบายน้ำให้หน่อยคับ บ้านยังน้ำท่วมอยู่คับ ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า ชั่วโมง,น้ำในท่อยังไม่ลงเลยคับ ช่วยระบายน้ำให้หน่อยคับ บ้านยังน้ำท่วมอยู่คับ ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า ชั่วโมง,100.54758,13.75791,ราชเทวี,มักกะสัน,finish,fuchsia
2022-09-25,"ถนน,น้ำท่วม",ถนน,ถนน,ถนน,น้ำท่วมหน้าวัดปากบึง ตลาดบวรร่มเกล้า ถนนร่มเกล้า 24 ค่ะ ความสูงระดับหน้าแข้ง น้ำท่วมน้อยกว่า 1 วัน,น้ำท่วมหน้าวัดปากบึง ตลาดบวรร่มเกล้า ถนนร่มเกล้า ค่ะ ความสูงระดับหน้าแข้ง น้ำท่วมน้อยกว่า วัน,น้ำท่วมหน้าวัดปากบึง ตลาดบวรร่มเกล้า ถนนร่มเกล้า ค่ะ ความสูงระดับหน้าแข้ง น้ำท่วมน้อยกว่า วัน,100.73769,13.77644,ลาดกระบัง,คลองสองต้นนุ่น,finish,brown
2022-09-26,ถนน,ถนน,ถนน,ถนน,ถนนทำมานานแล้วไม่เสร็จสักที เป็นหลุมแฉะรถผ่านไปมาไม่สะดวก เวลาฝนไม่ตกก็ไม่เร่งทำ เดือดร้อนมากช่วยเร่งทำให้เสร็จเร็วๆจะปิดเพื่อทำก็ไม่ว่าแต่ขอให้ทำค่ะไม่ใช่ปล่อยไว้อย่างงี้,ถนนทำมานานแล้วไม่เสร็จสักที เป็นหลุมแฉะรถผ่านไปมาไม่สะดวก เวลาฝนไม่ตกก็ไม่เร่งทำ เดือดร้อนมากช่วยเร่งทำให้เสร็จเร็วจะปิดเพื่อทำก็ไม่ว่าแต่ขอให้ทำค่ะไม่ใช่ปล่อยไว้อย่างงี้,ถนนทำมานานแล้วไม่เสร็จสักที เป็นหลุมแฉะรถผ่านไปมาไม่สะดวก เวลาฝนไม่ตกก็ไม่เร่งทำ เดือดร้อนมากช่วยเร่งทำให้เสร็จเร็วจะปิดเพื่อทำก็ไม่ว่าแต่ขอให้ทำค่ะไม่ใช่ปล่อยไว้อย่างงี้,100.78126,13.84059,คลองสามวา,ทรายกองดินใต้,inprogress,brown
2022-09-27,ทางเท้า,ถนน,ถนน,ถนน,นั่งกินเหล้าขวางทางเท้าเวลาเช้า ย้ำเวลาเช้า ไม่ทีทางเดินจอดรถขวางเดินผ่านคือเดินบนถนนล้ำไปเลนจะโดนรถชนตายวันไหนก็ไม่รู้แจ้งเป็นสิบๆครั้งละจุดนี้ ไม่มีปัญญาแก้ไม่น่าต้องมมารับเงินเดือนแล้วนะ น่าจะลาออกไปทำอย่างอื่นละหล่ะหน่วยงานที่เกี่ยวข้อง,นั่งกินเหล้าขวางทางเท้าเวลาเช้า ย้ำเวลาเช้า ไม่ทีทางเดินจอดรถขวางเดินผ่านคือเดินบนถนนล้ำไปเลนจะโดนรถชนตายวันไหนก็ไม่รู้แจ้งเป็นสิบครั้งละจุดนี้ ไม่มีปัญญาแก้ไม่น่าต้องมมารับเงินเดือนแล้วนะ น่าจะลาออกไปทำอย่างอื่นละหล่ะหน่วยงานที่เกี่ยวข้อง,นั่งกินเหล้าขวางทางเท้าเวลาเช้า ย้ำเวลาเช้า ไม่ทีทางเดินจอดรถขวางเดินผ่านคือเดินบนถนนล้ำไปเลนจะโดนรถชนตายวันไหนก็ไม่รู้แจ้งเป็นสิบครั้งละจุดนี้ ไม่มีปัญญาแก้ไม่น่าต้องมมารับเงินเดือนแล้วนะ น่าจะลาออกไปทำอย่างอื่นละหล่ะหน่วยงานที่เกี่ยวข้อง,100.57264,13.7782,ดินแดง,ดินแดง,finish,brown
2022-09-28,"คลอง,น้ำท่วม",น้ำท่วม,น้ำท่วม,น้ำท่วม,น้ำเอ่อล้นจากคลองประเวศบุรีรมย์เข้าท่วมบ้านเรือน ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า 1 วัน,น้ำเอ่อล้นจากคลองประเวศบุรีรมย์เข้าท่วมบ้านเรือน ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า วัน,น้ำเอ่อล้นจากคลองประเวศบุรีรมย์เข้าท่วมบ้านเรือน ความสูงระดับข้อเท้า น้ำท่วมน้อยกว่า วัน,100.63375,13.71598,สวนหลวง,สวนหลวง,finish,fuchsia
2022-09-29,"ถนน,ความปลอดภัย,ทางเท้า",ถนน,ถนน,ถนน,ขอให้สำนักงานเขตป้อมปราบศัตรูพ่ายทำการยกเลิกพื้นที่ผ่อนผันค้าขายบริเวณหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเนื่องจากผู้ค้าตั้งวางสินค้าเต็มทางเท้าและรุกล้ำบนถนนทำให้ประชาชนไม่สามารถเดินสัญจรบนทางเท้าได้จำเป็นต้องเดินบนถนนซึ่งอาจทำให้เกิดอันตรายเสียชีวิตจากรถชนในบริเวณดังกล่าวแจ้งเรื่องตั้งแต่กุมภาพันธ์ 2565 จนปัจจุบันยังมิได้ดำเนินการ,ขอให้สำนักงานเขตป้อมปราบศัตรูพ่ายทำการยกเลิกพื้นที่ผ่อนผันค้าขายบริเวณหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเนื่องจากผู้ค้าตั้งวางสินค้าเต็มทางเท้าและรุกล้ำบนถนนทำให้ประชาชนไม่สามารถเดินสัญจรบนทางเท้าได้จำเป็นต้องเดินบนถนนซึ่งอาจทำให้เกิดอันตรายเสียชีวิตจากรถชนในบริเวณดังกล่าวแจ้งเรื่องตั้งแต่กุมภาพันธ์ จนปัจจุบันยังมิได้ดำเนินการ,ขอให้สำนักงานเขตป้อมปราบศัตรูพ่ายทำการยกเลิกพื้นที่ผ่อนผันค้าขายบริเวณหน้ามูลนิธิปอเต็กตึ้งถนนพลับพลาไชยเนื่องจากผู้ค้าตั้งวางสินค้าเต็มทางเท้าและรุกล้ำบนถนนทำให้ประชาชนไม่สามารถเดินสัญจรบนทางเท้าได้จำเป็นต้องเดินบนถนนซึ่งอาจทำให้เกิดอันตรายเสียชีวิตจากรถชนในบริเวณดังกล่าวแจ้งเรื่องตั้งแต่กุมภาพันธ์ จนปัจจุบันยังมิได้ดำเนินการ,100.51057,13.74436,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,finish,brown
2022-09-30,สะพาน,สะพาน,สะพาน,สะพาน,มาดูท่อระบายให้หน่อยน้ำในคลองแห้งแล้วแต่น้ำในท่อยังเต็มเหมือนเดิมเวลาฝนตกก็หลายวันกว่าจะแห้งประชาอุทิศ 76 แยก 4/2ช่วงก่อนขึ้นสะพานถึงทางด่วน,มาดูท่อระบายให้หน่อยน้ำในคลองแห้งแล้วแต่น้ำในท่อยังเต็มเหมือนเดิมเวลาฝนตกก็หลายวันกว่าจะแห้งประชาอุทิศ แยก ช่วงก่อนขึ้นสะพานถึงทางด่วน,มาดูท่อระบายให้หน่อยน้ำในคลองแห้งแล้วแต่น้ำในท่อยังเต็มเหมือนเดิมเวลาฝนตกก็หลายวันกว่าจะแห้งประชาอุทิศ แยก ช่วงก่อนขึ้นสะพานถึงทางด่วน,100.49997,13.62277,ทุ่งครุ,ทุ่งครุ,finish,navy
2022-10-01,ถนน,ถนน,ถนน,ถนน,มีซากรถจอดทิ้งไว้บนถนน ต้องการให้เคลื่อนย้ายซากรถออกจากถนน,มีซากรถจอดทิ้งไว้บนถนน ต้องการให้เคลื่อนย้ายซากรถออกจากถนน,มีซากรถจอดทิ้งไว้บนถนน ต้องการให้เคลื่อนย้ายซากรถออกจากถนน,100.72107,13.81081,มีนบุรี,มีนบุรี,finish,brown
2022-10-02,"ถนน,ทางเท้า",ถนน,ถนน,ถนน,ถนนบำรุงเมืองมุ่งหน้าแยกแม้นศรี ถนนเลนขวาสุดระหว่างวิทยาลัยสารพัดช่างฯ - ประปาแม้นศรีเดิม จะมีหลุมใหญ่มาก 2 จุดใกล้ๆ กัน สังเกตุได้ว่าจะมีร้านขายของริมถนน หน้าร้านจะมีกรวยสีส้มตั้งอยู่ หลุมค่อนข้างใหญ่ และเมื่อฝนตกน้ำจะท่วมขังเป็นแอ่งใหญ่สาดกระเซ็นขึ้นฟุตบาท,ถนนบำรุงเมืองมุ่งหน้าแยกแม้นศรี ถนนเลนขวาสุดระหว่างวิทยาลัยสารพัดช่าง ประปาแม้นศรีเดิม จะมีหลุมใหญ่มาก จุดใกล้ กัน สังเกตุได้ว่าจะมีร้านขายของริมถนน หน้าร้านจะมีกรวยสีส้มตั้งอยู่ หลุมค่อนข้างใหญ่ และเมื่อฝนตกน้ำจะท่วมขังเป็นแอ่งใหญ่สาดกระเซ็นขึ้นฟุตบาท,ถนนบำรุงเมืองมุ่งหน้าแยกแม้นศรี ถนนเลนขวาสุดระหว่างวิทยาลัยสารพัดช่าง ประปาแม้นศรีเดิม จะมีหลุมใหญ่มาก จุดใกล้ กัน สังเกตุได้ว่าจะมีร้านขายของริมถนน หน้าร้านจะมีกรวยสีส้มตั้งอยู่ หลุมค่อนข้างใหญ่ และเมื่อฝนตกน้ำจะท่วมขังเป็นแอ่งใหญ่สาดกระเซ็นขึ้นฟุตบาท,100.50419,13.75211,พระนคร,สำราญราษฎร์,inprogress,brown
